"","unsc.r.val","unsc.p.val","scr.r.val","scr.p.val","steiger.p"
"42",0.279034203901903,0.021206421489498,-0.198042403471918,0.105468553006962,0.00321155602187805
"43",0.28141776951733,0.0200824006145566,-0.198042403471918,0.105468553006962,0.00291886813358133
"44",0.274576507073189,0.0234525652763278,-0.198042403471918,0.105468553006962,0.00317288630947508
"45",0.269057977604066,0.0265097653022055,-0.198042403471918,0.105468553006962,0.00389642395367118
"46",0.274853330978328,0.0233074313210171,-0.198042403471918,0.105468553006962,0.003281032725064
"47",0.278403584719472,0.0225336073010785,-0.176608382288755,0.152813972237131,0.00493114242538209
"48",0.278403584719472,0.0225336073010785,-0.221582259986777,0.071534406388761,0.00219537041146425
"49",0.278403584719472,0.0225336073010785,-0.201087657924445,0.102740008964879,0.00308050027773177
"50",0.277969628520281,0.0217254838531764,-0.182840215779135,0.135594828732162,0.00482472405641305
"51",0.268218070278343,0.0270033310545248,-0.198042403471918,0.105468553006962,0.00377034053377647
"52",0.278403584719472,0.0225336073010785,-0.200279135843995,0.104159264923478,0.00317182313932646
"53",0.278403584719472,0.0225336073010785,-0.194695788050501,0.114379100878715,0.00438284534380036
"54",0.286211877733655,0.0179747919087607,-0.198042403471918,0.105468553006962,0.00277697815416747
"55",0.278403584719472,0.0225336073010785,-0.186024071065392,0.131757540831175,0.00398839829607043
"56",0.270394544958583,0.0257400473065081,-0.198042403471918,0.105468553006962,0.00373197749938684
"57",0.275680720762474,0.0228781781087117,-0.198042403471918,0.105468553006962,0.00321536873160894
"58",0.278403584719472,0.0225336073010785,-0.18385185736329,0.136408614733887,0.00375591546380307
"59",0.274290604705624,0.0236032626196785,-0.198042403471918,0.105468553006962,0.0035203521296696
"60",0.269947707107102,0.0259952485762032,-0.198042403471918,0.105468553006962,0.00367484883369495
"61",0.278403584719472,0.0225336073010785,-0.194128538271083,0.115459080395905,0.00378601706964904
"62",0.278403584719472,0.0225336073010785,-0.199362222273611,0.105787142988759,0.00314634969162262
"63",0.27411640926206,0.0236954817767598,-0.198042403471918,0.105468553006962,0.00338557523183994
"64",0.264093602708045,0.0295409483588078,-0.198042403471918,0.105468553006962,0.00398755426399943
"65",0.273906126978387,0.0238072120138537,-0.198042403471918,0.105468553006962,0.00337818544684107
"66",0.277404519865803,0.0220053801053961,-0.198042403471918,0.105468553006962,0.0033082232713175
"67",0.274729669141801,0.023372170656754,-0.198042403471918,0.105468553006962,0.00341451273080573
"68",0.273916082756616,0.0238019121143926,-0.198042403471918,0.105468553006962,0.00355736414148879
"69",0.279077260072704,0.0211856522965981,-0.198042403471918,0.105468553006962,0.00310850782814955
"70",0.278403584719472,0.0225336073010785,-0.176225831347242,0.153719451078246,0.00514629858367861
"71",0.292692526376273,0.0154286253646014,-0.198042403471918,0.105468553006962,0.00247116206226055
"72",0.283219194526547,0.0192669713036744,-0.198042403471918,0.105468553006962,0.00304702131196739
"73",0.278403584719472,0.0225336073010785,-0.185093400365995,0.133735344974617,0.00475339715826934
"74",0.278403584719472,0.0225336073010785,-0.198007641180086,0.10822803143141,0.00353766149412462
"75",0.278403584719472,0.0225336073010785,-0.206525712912495,0.0935809874192581,0.00264494404972627
"76",0.280653506460168,0.020437138431292,-0.198042403471918,0.105468553006962,0.00290933743005835
"77",0.287813221219707,0.0173143484093528,-0.198042403471918,0.105468553006962,0.00256608018417271
"78",0.278403584719472,0.0225336073010785,-0.203536458571063,0.0985329989884285,0.0035550175996424
"79",0.278403584719472,0.0225336073010785,-0.213115136029979,0.0833542071947311,0.00190612250156948
"80",0.277651919788438,0.0218824689192871,-0.198042403471918,0.105468553006962,0.0030672546157018
