PP,Soc_NonSoc,StimImage,ValenceUserChoice
59,Social,famreadingborderLum.jpg,8
59,Social,Snews24.jpg,6
59,Social,8496.jpg,8
59,Social,Snews2Lum.jpg,6
59,NonSocial,yatch.jpg,6
59,Social,smile1.jpg,7
59,Social,SnewIAPS27.jpg,9
59,NonSocial,pizza.jpg,7
59,NonSocial,7260.jpg,6
59,NonSocial,7270Lum.jpg,7
59,NonSocial,ring2Lum.jpg,5
59,Social,Snewes7Lum.jpg,8
59,NonSocial,NSadj1ns21rjLum.jpg,8
59,Social,Snews7.jpg,9
59,Social,5830.jpg,9
59,NonSocial,ferrari2.jpg,5
59,NonSocial,7400.jpg,6
59,Social,smile6.jpg,8
59,NonSocial,chips.jpg,6
59,NonSocial,5982.jpg,8
59,Social,Snews5.jpg,7
59,NonSocial,NSadj64rjborder.jpg,6
59,NonSocial,NSadj34rjborderLum.jpg,6
59,Social,5628.jpg,9
59,NonSocial,7200.jpg,7
59,Social,Snews27.jpg,7
59,Social,fam1reading.jpg,8
59,Social,Snews25.jpg,7
59,NonSocial,chocolate3border.jpg,6
59,Social,SnewIAPS29Lum.jpg,8
59,NonSocial,NSnew14.jpg,9
59,Social,Snewes38border.jpg,8
59,Social,Snewes10.jpg,8
59,NonSocial,cake7border.jpg,4
59,Social,Snewes42.jpg,8
59,NonSocial,NSnew7.jpg,8
59,NonSocial,7430Lum.jpg,5
59,NonSocial,NSadj36apaintrj.jpg,5
59,Social,SnewIAPS36.jpg,7
59,NonSocial,7350.jpg,6
59,NonSocial,NSnew30.jpg,8
59,NonSocial,7502Lum.jpg,8
59,Social,Snews26.jpg,6
59,Social,smilee.jpg,7
59,NonSocial,NSadj1ns1rj.jpg,8
59,Social,wedding3.jpg,6
59,NonSocial,cake2.jpg,6
59,NonSocial,NSnew12.jpg,8
59,NonSocial,8503.jpg,6
59,Social,SnewIAPS30.jpg,7
59,Social,SnewIAPS28.jpg,7
59,Social,wedding.jpg,6
59,Social,2165.jpg,8
59,NonSocial,7281.jpg,8
59,Social,Snews6.jpg,9
59,Social,family2.jpg,9
59,NonSocial,popcorn.jpg,4
59,Social,SnewIAPS14Lum.jpg,4
59,Social,SnewIAPS13.jpg,6
59,NonSocial,choco9border.jpg,6
59,Social,childreadingborder.jpg,8
60,Social,Snews6.jpg,5
60,Social,fam1reading.jpg,6
60,Social,Snews7.jpg,3
60,Social,wedding3.jpg,6
60,Social,Snewes42.jpg,5
60,NonSocial,5001.jpg,6
60,Social,Snews22.jpg,7
60,NonSocial,NSnew30.jpg,5
60,NonSocial,NSnew14.jpg,3
60,Social,childreadingborder.jpg,5
60,NonSocial,5760Lum.jpg,6
60,NonSocial,cake7border.jpg,7
60,Social,Snews2Lum.jpg,6
60,NonSocial,7430Lum.jpg,7
60,NonSocial,5982.jpg,5
60,Social,family2.jpg,6
60,Social,SnewIAPS17.jpg,6
60,NonSocial,pizza.jpg,7
60,NonSocial,7350.jpg,7
60,NonSocial,NSnew3Lum.jpg,6
60,Social,smile6.jpg,7
60,Social,wedding.jpg,7
60,Social,SnewIAPS13.jpg,6
60,Social,Snewes8black.jpg,6
60,NonSocial,8503.jpg,5
60,Social,SnewIAPS36.jpg,3
60,NonSocial,7270Lum.jpg,6
60,Social,smilee.jpg,7
60,NonSocial,yatch.jpg,4
60,Social,famreadingborderLum.jpg,5
60,NonSocial,NSnew7.jpg,5
60,Social,SnewIAPS27.jpg,6
60,Social,Snewes10.jpg,7
60,NonSocial,cake8borderLum.jpg,7
60,NonSocial,NSadj34rjborderLum.jpg,6
60,NonSocial,5480.jpg,6
60,NonSocial,NSadj41rj.jpg,5
60,Social,Snews24.jpg,5
60,Social,SnewIAPS8.jpg,5
60,NonSocial,ring2Lum.jpg,4
60,Social,SnewIAPS30.jpg,5
60,Social,Snewes38border.jpg,6
60,NonSocial,NSadj36apaintrj.jpg,7
60,Social,8496.jpg,6
60,Social,2165.jpg,6
60,NonSocial,7281.jpg,4
60,Social,Snews27.jpg,6
60,NonSocial,NSadj1ns21rjLum.jpg,4
60,Social,SnewIAPS31.jpg,6
60,NonSocial,cake2.jpg,7
60,NonSocial,choco9border.jpg,7
60,NonSocial,7200.jpg,7
60,NonSocial,NSadj64rjborder.jpg,5
60,NonSocial,ferrari2.jpg,1
60,NonSocial,popcorn.jpg,6
60,Social,smile1.jpg,7
60,NonSocial,7508.jpg,6
60,Social,Snews5.jpg,6
60,NonSocial,7260.jpg,6
60,NonSocial,7502Lum.jpg,7
60,Social,SnewIAPS35.jpg,5
60,Social,5830.jpg,5
60,NonSocial,8531Lum.jpg,1
60,Social,5628.jpg,2
60,NonSocial,chocolate3border.jpg,8
60,Social,Snews26.jpg,5
60,Social,SnewIAPS29Lum.jpg,5
60,NonSocial,NSadj1ns1rj.jpg,5
60,Social,Snews25.jpg,7
60,NonSocial,cake3.jpg,6
60,NonSocial,5779.jpg,6
60,NonSocial,7400.jpg,6
60,Social,family.jpg,5
60,NonSocial,NSnew12.jpg,5
60,Social,SnewIAPS14Lum.jpg,
60,Social,SnewIAPS28.jpg,5
60,NonSocial,chips.jpg,7
60,Social,Snewes7Lum.jpg,6
60,Social,wedding2.jpg,6
60,NonSocial,pizza3.jpg,7
61,NonSocial,NSadj64rjborder.jpg,6
61,Social,Snews24.jpg,5
61,Social,Snewes10.jpg,7
61,Social,SnewIAPS31.jpg,4
61,NonSocial,NSadj1ns21rjLum.jpg,5
61,Social,smile6.jpg,7
61,Social,Snews7.jpg,7
61,NonSocial,cake2.jpg,7
61,Social,SnewIAPS14Lum.jpg,6
61,NonSocial,8503.jpg,6
61,Social,Snews25.jpg,7
61,NonSocial,chips.jpg,7
61,Social,childreadingborder.jpg,7
61,NonSocial,7350.jpg,8
61,Social,wedding2.jpg,6
61,Social,SnewIAPS8.jpg,6
61,NonSocial,NSadj1ns1rj.jpg,5
61,Social,Snews22.jpg,6
61,NonSocial,ferrari2.jpg,5
61,NonSocial,7281.jpg,5
61,Social,SnewIAPS17.jpg,6
61,Social,Snewes7Lum.jpg,7
61,NonSocial,pizza3.jpg,8
61,Social,Snews26.jpg,6
61,NonSocial,choco9border.jpg,6
61,NonSocial,yatch.jpg,5
61,Social,family.jpg,5
61,Social,famreadingborderLum.jpg,7
61,Social,Snews5.jpg,6
61,Social,wedding.jpg,6
61,NonSocial,7270Lum.jpg,7
61,Social,wedding3.jpg,6
61,Social,Snews27.jpg,7
61,NonSocial,chocolate3border.jpg,8
61,NonSocial,5480.jpg,6
61,NonSocial,popcorn.jpg,5
61,Social,SnewIAPS29Lum.jpg,5
61,NonSocial,7200.jpg,9
61,NonSocial,5760Lum.jpg,6
61,NonSocial,7508.jpg,5
61,NonSocial,7502Lum.jpg,6
61,NonSocial,ring2Lum.jpg,5
61,NonSocial,5982.jpg,5
61,Social,Snews6.jpg,6
61,NonSocial,7400.jpg,7
61,Social,SnewIAPS27.jpg,6
61,Social,5628.jpg,5
61,NonSocial,5779.jpg,6
61,NonSocial,NSadj41rj.jpg,5
61,NonSocial,NSadj36apaintrj.jpg,5
61,Social,SnewIAPS30.jpg,6
61,Social,Snewes38border.jpg,7
61,NonSocial,NSnew3Lum.jpg,5
61,Social,smilee.jpg,7
