"","pps","EQ.Total","Gender","time.exclusion.70.lower","time.exclusion.500.higher","angle.unsc","angle.scr","lat.soc.unscr","lat.nonsoc.unscr","lat.soc.scr","lat.nonsoc.scr","unsc.trials","scr.trials"
"37","pp44",44,"f",0,0,1.15513513513514,-1.57282051282051,257.6,272.470588235294,260.421052631579,250.4,37,39
"38","pp46",42,"f",1,0,0.35736842105263,0.9785,242.666666666667,262.2,231.6,246,38,40
"39","pp47",43,"f",3,0,3.1840625,2.72939393939394,217.142857142857,209.818181818182,233.882352941176,255.25,32,33
"40","pp48",57,"f",0,0,1.48026315789474,1.42307692307692,218,208.571428571429,223.304347826087,218,38,39
"41","pp49",42,"f",0,1,2.869,0.638684210526315,195.851851851852,189.230769230769,204.533333333333,195.304347826087,40,38
"42","pp50",41,"m",0,0,0.80675,-0.24825,228.333333333333,221.5,232.444444444444,242.727272727273,40,40
"43","pp53",41,"m",1,2,0.312571428571429,0.5834375,250.25,274.105263157895,246.769230769231,218.315789473684,35,32
"44","pp55",51,"f",0,0,-0.416666666666666,0.316,194.260869565217,189.75,199.826086956522,196.235294117647,39,40
"45","pp56",36,"f",0,0,0.423589743589743,0.245897435897435,237.04347826087,233.75,234.909090909091,246.588235294118,39,39
"46","pp57",50,"m",1,0,0.239999999999997,-0.921621621621625,260,256.888888888889,259,234.47619047619,37,37
"47","pp58",44,"m",0,0,2.83236842105263,0.371794871794872,218,234.285714285714,237.714285714286,249.111111111111,38,39
"48","pp60",42,"m",0,0,1.2155,-0.158749999999999,255.166666666667,244.5,244.380952380952,241.894736842105,40,40
"49","pp63",50,"m",0,1,1.04125,0.342051282051282,236,221.4,236.666666666667,252.266666666667,40,39
"50","pp64",49,"f",2,0,5.30875,-1.04027027027027,217.565217391304,198.222222222222,225.777777777778,233.473684210526,32,37
"51","pp65",37,"m",0,0,0.725999999999999,0.38820512820513,237.454545454545,242,233.636363636364,220,40,39
"52","pp66",25,"m",2,1,2.58088235294117,-2.01361111111111,252.952380952381,257.230769230769,246.823529411765,239.789473684211,34,36
"53","pp69",37,"m",2,0,1.93513513513514,0.621250000000001,234.37037037037,218,242.727272727273,232.444444444444,37,40
"54","pp70",47,"m",0,1,1.04473684210526,1.12575,203.619047619048,201.882352941176,202.086956521739,205.411764705882,38,40
"55","pp71",52,"m",1,0,1.955,0.504736842105263,204.166666666667,224.5,221.2,190.888888888889,40,38
"56","pp72",39,"m",0,1,1.14552631578947,0.610263157894737,217.2,195.555555555556,212.421052631579,224,38,38
"57","pp73",51,"m",0,0,1.0455,-0.814000000000001,207.238095238095,203.578947368421,198.736842105263,205.904761904762,40,40
"58","pp74",47,"m",1,0,1.10307692307692,-1.94588235294118,245.904761904762,226.444444444444,237.111111111111,251,39,34
"59","pp76",56,"m",1,2,0.311621621621621,-0.180499999999999,225,218.117647058824,203.6,226.6,37,40
"60","pp77",35,"m",0,0,-2.34974358974359,1.28473684210526,224,209.25,233,228,39,38
"61","pp78",25,"m",2,2,2.94787878787879,0.735294117647058,253.714285714286,252,260.210526315789,256,33,34
